edge_id,subject,subject_type,subject_subset,predicate,biolink_predicate,object,object_type,object_subset,pmid,trial,year,confidence,confidence_rationale,effect_size,p_value,direction,temporal_context
airway_pressure_rele__hasClinicalOutcome__respiratory_system_c__11435237,Airway pressure release ventilation (APRV) with spontaneous breathing,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Respiratory system compliance (CRS), arterial oxygen tension (PaO2), cardiac index (CI), oxygen delivery (DO2), venous admixture (QVA/QT)",biolink:ClinicalFinding,POI_outcome,11435237,,2001,0.6,"Haiku-extracted from PMID:11435237, direction=BENEFIT",None,<0.05,BENEFIT,
new_ventilatory_appr__hasClinicalOutcome__improved_pao2_fio2_r__8520744,New ventilatory approach (NA),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improved PaO2/FiO2 ratio,biolink:ClinicalFinding,POI_outcome,8520744,,1995,0.6,"Haiku-extracted from PMID:8520744, direction=BENEFIT",None,<0.0001,BENEFIT,
low_vt___3_ml_kg__wi__hasClinicalOutcome__ventilator_free_days__23306584,Low Vt (≈3 ml/kg) with extracorporeal CO2 removal,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days at 60 days,biolink:ClinicalFinding,POI_outcome,23306584,,2013,0.6,"Haiku-extracted from PMID:23306584, direction=NO EFFECT",4,0.469,NO EFFECT,
tocilizumab_in_first__hasClinicalOutcome__time_to_death__33080002,Tocilizumab in first 2 days of ICU admission,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Time to death,biolink:ClinicalFinding,POI_outcome,33080002,,2021,0.6,"Haiku-extracted from PMID:33080002, direction=BENEFIT",-11.7,<0.001,BENEFIT,
noninvasive_ventilat__hasClinicalOutcome__rate_of_endotracheal__27179847,Noninvasive ventilation delivered by helmet,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Rate of endotracheal intubation,biolink:ClinicalFinding,POI_outcome,27179847,,2016,0.6,"Haiku-extracted from PMID:27179847, direction=BENEFIT",-43.3,<0.001,BENEFIT,
noninvasive_ventilat__hasClinicalOutcome__need_for_reintubatio__16276167,Noninvasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Need for reintubation,biolink:ClinicalFinding,POI_outcome,16276167,,2005,0.6,"Haiku-extracted from PMID:16276167, direction=BENEFIT",-16.2,0.027,BENEFIT,
nasal_high_flow__nhf__hasClinicalOutcome__pao2_fio2set_ratio__25003980,Nasal high-flow (NHF) oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,PaO2/FiO2SET ratio,biolink:ClinicalFinding,POI_outcome,25003980,,2014,0.6,"Haiku-extracted from PMID:25003980, direction=BENEFIT",None,0.03,BENEFIT,
high_flow_nasal_oxyg__hasClinicalOutcome__treatment_failure__25980660,High-flow nasal oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Treatment failure,biolink:ClinicalFinding,POI_outcome,25980660,,2015,0.6,"Haiku-extracted from PMID:25980660, direction=NO EFFECT",-0.8,0.50,NO EFFECT,
noninvasive_positive__hasClinicalOutcome__avoidance_of_intubat__17133177,Noninvasive positive pressure ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Avoidance of intubation,biolink:ClinicalFinding,POI_outcome,17133177,,2007,0.6,"Haiku-extracted from PMID:17133177, direction=BENEFIT",None,<0.001,BENEFIT,
low_dose__5_ppm__inh__hasClinicalOutcome__days_alive_and_off_a__15069048,Low-dose (5-ppm) inhaled nitric oxide,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Days alive and off assisted breathing,biolink:ClinicalFinding,POI_outcome,15069048,,2004,0.6,"Haiku-extracted from PMID:15069048, direction=NO EFFECT",-0.1,0.97,NO EFFECT,
high_flow_nasal_cann__hasClinicalOutcome__reintubation_within___26975498,High-flow nasal cannula oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Reintubation within 72 hours,biolink:ClinicalFinding,POI_outcome,26975498,,2016,0.6,"Haiku-extracted from PMID:26975498, direction=BENEFIT",-7.2,0.004,BENEFIT,
enteral_supplementat__hasClinicalOutcome__ventilator_free_days__21976613,"Enteral supplementation of n-3 fatty acids, γ-linolenic acid, and antioxidants",biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days to study day 28,biolink:ClinicalFinding,POI_outcome,21976613,,2011,0.6,"Haiku-extracted from PMID:21976613, direction=HARM",-3.2,0.02,HARM,
introduction_of_medi__hasClinicalOutcome__serious_adverse_even__15071378,Introduction of medical emergency team,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Serious adverse events after major surgery,biolink:ClinicalFinding,POI_outcome,15071378,,2004,0.6,"Haiku-extracted from PMID:15071378, direction=BENEFIT",-174.0,<0.0001,BENEFIT,
physical_rehabilitat__hasClinicalOutcome__discharge_to_home_vs__25496103,Physical rehabilitation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Discharge to home vs rehabilitation facility in ICUAW,biolink:ClinicalFinding,POI_outcome,25496103,,2014,0.6,"Haiku-extracted from PMID:25496103, direction=BENEFIT",None,None,BENEFIT,
icu_intubation_bundl__hasClinicalOutcome__incidence_of_life_th__19921148,ICU intubation bundle management protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Incidence of life-threatening complications within 60 min after intubation,biolink:ClinicalFinding,POI_outcome,19921148,,2010,0.6,"Haiku-extracted from PMID:19921148, direction=BENEFIT",-13.0,0.03,BENEFIT,
continuous_positive___hasClinicalOutcome__improvement_in_pao2___11066186,Continuous positive airway pressure (CPAP) plus oxygen therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Improvement in PaO2/FiO2 ratio, need for intubation, adverse events, hospital stay, mortality, ventilation duration",biolink:ClinicalFinding,POI_outcome,11066186,,2000,0.6,"Haiku-extracted from PMID:11066186, direction=NO EFFECT",-5.0,0.53,NO EFFECT,
hydrocortisone__hasClinicalOutcome__treatment_failure_on__32876689,Hydrocortisone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Treatment failure on day 21,biolink:ClinicalFinding,POI_outcome,32876689,,2020,0.6,"Haiku-extracted from PMID:32876689, direction=NO EFFECT",-8.6,0.29,NO EFFECT,
tak_242__hasClinicalOutcome__serum_il_6_level_cha__20562702,TAK-242,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Serum IL-6 level change from baseline,biolink:ClinicalFinding,POI_outcome,20562702,,2010,0.6,"Haiku-extracted from PMID:20562702, direction=NO EFFECT",None,0.63 and 0.15,NO EFFECT,
noninvasive_pressure__hasClinicalOutcome__endotracheal_intubat__7874950,Noninvasive pressure support ventilation (NIPSV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Endotracheal intubation rate,biolink:ClinicalFinding,POI_outcome,7874950,,1995,0.6,"Haiku-extracted from PMID:7874950, direction=NO EFFECT",None,0.88,NO EFFECT,
inhaled_nitric_oxide__hasClinicalOutcome__mortality__17383982,Inhaled nitric oxide,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,17383982,,2007,0.6,"Haiku-extracted from PMID:17383982, direction=NO EFFECT",RR,0.22,NO EFFECT,
nasal_pressure_suppo__hasClinicalOutcome__daytime_arterial_pao__7633704,Nasal pressure support ventilation plus oxygen,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Daytime arterial PaO2 and PaCO2, sleep time and efficiency, overnight PaCO2",biolink:ClinicalFinding,POI_outcome,7633704,,1995,0.6,"Haiku-extracted from PMID:7633704, direction=BENEFIT",None,<0.001,BENEFIT,
non_invasive_pressur__hasClinicalOutcome__intubation_rate__11191538,Non-invasive pressure support ventilation (NIPSV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Intubation rate,biolink:ClinicalFinding,POI_outcome,11191538,,2000,0.6,"Haiku-extracted from PMID:11191538, direction=BENEFIT",-28.0,0.037,BENEFIT,
noninvasive_positive__hasClinicalOutcome__need_for_endotrachea__11673215,Noninvasive positive-pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Need for endotracheal mechanical ventilation,biolink:ClinicalFinding,POI_outcome,11673215,,2001,0.6,"Haiku-extracted from PMID:11673215, direction=BENEFIT",-29.2,0.035,BENEFIT,
inspiratory_pressure__hasClinicalOutcome__ventilator_liberatio__27818331,Inspiratory pressure augmentation during spontaneous breathing trials,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator liberation outcomes,biolink:ClinicalFinding,POI_outcome,27818331,,2017,0.6,"Haiku-extracted from PMID:27818331, direction=BENEFIT",None,None,BENEFIT,
aerosolized_albutero__hasClinicalOutcome__ventilator_free_days__21562125,Aerosolized albuterol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days,biolink:ClinicalFinding,POI_outcome,21562125,,2011,0.6,"Haiku-extracted from PMID:21562125, direction=NO EFFECT",5.3,0.087,NO EFFECT,
intraoperative_high___hasClinicalOutcome__composite_of_death____23117776,Intraoperative high-dose dexamethasone,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Composite of death, myocardial infarction, stroke, renal failure, or respiratory failure",biolink:ClinicalFinding,POI_outcome,23117776,,2012,0.6,"Haiku-extracted from PMID:23117776, direction=NO EFFECT",-1.5,0.07,NO EFFECT,
protocolized_sedatio__hasClinicalOutcome__duration_of_mechanic__25602358,Protocolized sedation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Duration of mechanical ventilation,biolink:ClinicalFinding,POI_outcome,25602358,,2015,0.6,"Haiku-extracted from PMID:25602358, direction=NO EFFECT",None,0.01,NO EFFECT,
tofacitinib__hasClinicalOutcome__death_or_respiratory__34133856,Tofacitinib,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death or respiratory failure through day 28,biolink:ClinicalFinding,POI_outcome,34133856,,2021,0.6,"Haiku-extracted from PMID:34133856, direction=BENEFIT",-10.9,0.04,BENEFIT,
ventilator_managemen__hasClinicalOutcome__duration_of_mechanic__10936141,Ventilator management protocol (VMP) by respiratory care practitioners and nurses,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Duration of mechanical ventilation,biolink:ClinicalFinding,POI_outcome,10936141,,2000,0.6,"Haiku-extracted from PMID:10936141, direction=BENEFIT",-56.0,0.0001,BENEFIT,
peep_titrated_with_e__hasClinicalOutcome__ranked_composite_sco__30776290,PEEP titrated with esophageal pressure (PES)-guided strategy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ranked composite score of death and days free from mechanical ventilation among survivors through day 28,biolink:ClinicalFinding,POI_outcome,30776290,,2019,0.6,"Haiku-extracted from PMID:30776290, direction=NO EFFECT",1.7,0.92,NO EFFECT,
n_acetylcysteine__na__hasClinicalOutcome__mortality__9228372,N-acetylcysteine (NAC),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,9228372,,1997,0.6,"Haiku-extracted from PMID:9228372, direction=NO EFFECT",-4.0,NS,NO EFFECT,
recombinant_surfacta__hasClinicalOutcome__survival_at_28_days__15329426,Recombinant surfactant protein C-based surfactant,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Survival at 28 days,biolink:ClinicalFinding,POI_outcome,15329426,,2004,0.6,"Haiku-extracted from PMID:15329426, direction=NO EFFECT",ARD,None,NO EFFECT,
implementation_of_ic__hasClinicalOutcome__enteral_nutrition_us__15078758,Implementation of ICU nutrition management protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Enteral nutrition use,biolink:ClinicalFinding,POI_outcome,15078758,,2004,0.6,"Haiku-extracted from PMID:15078758, direction=BENEFIT",10.0,0.009,BENEFIT,
ace_i_d_polymorphism__hasClinicalOutcome__susceptibility_and_o__12204859,ACE I/D polymorphism,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Susceptibility and outcome of ARDS,biolink:ClinicalFinding,POI_outcome,12204859,,2002,0.6,"Haiku-extracted from PMID:12204859, direction=ASSOCIATION",None,None,ASSOCIATION,
80__oxygen__hasClinicalOutcome__surgical_site_infect__19826023,80% oxygen,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Surgical site infection within 14 days,biolink:ClinicalFinding,POI_outcome,19826023,,2009,0.6,"Haiku-extracted from PMID:19826023, direction=NO EFFECT",-1.0,0.64,NO EFFECT,
computer_driven_wean__hasClinicalOutcome__weaning_duration_unt__16840741,Computer-driven weaning protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Weaning duration until successful extubation,biolink:ClinicalFinding,POI_outcome,16840741,,2006,0.6,"Haiku-extracted from PMID:16840741, direction=BENEFIT",-2,0.01,BENEFIT,
venovenous_ecmo__hasClinicalOutcome__90_day_mortality__33021684,Venovenous ECMO,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,90-day mortality,biolink:ClinicalFinding,POI_outcome,33021684,,2020,0.6,"Haiku-extracted from PMID:33021684, direction=BENEFIT",-12.0,0.013,BENEFIT,
noninvasive_positive__hasClinicalOutcome__improvement_in_hyper__9872200,Noninvasive positive pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improvement in hypercapnic respiratory failure,biolink:ClinicalFinding,POI_outcome,9872200,,1998,0.6,"Haiku-extracted from PMID:9872200, direction=BENEFIT",None,<0.001,BENEFIT,
venovenous_extracorp__hasClinicalOutcome__60_day_mortality__30642776,Venovenous extracorporeal membrane oxygenation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,60-day mortality,biolink:ClinicalFinding,POI_outcome,30642776,,2019,0.6,"Haiku-extracted from PMID:30642776, direction=BENEFIT",-13.0,0.008,BENEFIT,
noninvasive_positive__hasClinicalOutcome__reintubation_rate__12076220,Noninvasive positive-pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Reintubation rate,biolink:ClinicalFinding,POI_outcome,12076220,,2002,0.6,"Haiku-extracted from PMID:12076220, direction=NO EFFECT",3.0,NS,NO EFFECT,
noninvasive_pressure__hasClinicalOutcome__breathing_pattern__n__16081548,Noninvasive pressure-support ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Breathing pattern, neuromuscular drive, inspiratory muscle effort, arterial blood gases, dyspnea",biolink:ClinicalFinding,POI_outcome,16081548,,2005,0.6,"Haiku-extracted from PMID:16081548, direction=",None,< 0.05,,
high_flow_nasal_cann__hasClinicalOutcome__mortality__30888444,High flow nasal cannula (HFNC),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,30888444,,2019,0.6,"Haiku-extracted from PMID:30888444, direction=NO EFFECT",RR,moderate certainty,NO EFFECT,
noninvasive_ventilat__hasClinicalOutcome__duration_of_invasive__12689847,Noninvasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Duration of invasive ventilation, ICU stay, and hospital stay",biolink:ClinicalFinding,POI_outcome,12689847,,2003,0.6,"Haiku-extracted from PMID:12689847, direction=BENEFIT",-10.6,0.003,BENEFIT,
diaphragm_ultrasonog__hasClinicalOutcome__accuracy_and_usefuln__27620292,diaphragm ultrasonography,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,accuracy and usefulness of diaphragm ultrasonography in ICU patients,biolink:ClinicalFinding,POI_outcome,27620292,,2017,0.6,"Haiku-extracted from PMID:27620292, direction=BENEFIT",None,None,BENEFIT,
standardized_rehabil__hasClinicalOutcome__hospital_length_of_s__27367766,Standardized rehabilitation therapy (SRT),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospital length of stay,biolink:ClinicalFinding,POI_outcome,27367766,,2016,0.6,"Haiku-extracted from PMID:27367766, direction=NO EFFECT",None,0.41,NO EFFECT,
lower_tidal_volume_v__hasClinicalOutcome__hospital_mortality__19841457,Lower tidal volume ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospital mortality,biolink:ClinicalFinding,POI_outcome,19841457,,2009,0.6,"Haiku-extracted from PMID:19841457, direction=BENEFIT",OR,0.02,BENEFIT,
neuromuscular_blocki__hasClinicalOutcome__inflammatory_respons__16932229,neuromuscular blocking agents (NMBAs),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Inflammatory response,biolink:ClinicalFinding,POI_outcome,16932229,,2006,0.6,"Haiku-extracted from PMID:16932229, direction=BENEFIT",None,None,BENEFIT,
lower_oxygenation_ta__hasClinicalOutcome__death_within_90_days__33471452,Lower oxygenation target (Pao2 60 mmHg),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Death within 90 days,biolink:ClinicalFinding,POI_outcome,33471452,,2021,0.6,"Haiku-extracted from PMID:33471452, direction=NO EFFECT",0.5,0.64,NO EFFECT,
noninvasive_mechanic__hasClinicalOutcome__30_day_mortality__11373414,Noninvasive mechanical ventilatory support (NIMV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,30-day mortality,biolink:ClinicalFinding,POI_outcome,11373414,,2001,0.6,"Haiku-extracted from PMID:11373414, direction=BENEFIT",-27.1,None,BENEFIT,
noninvasive_measurem__hasClinicalOutcome__correlation_between___11126271,Noninvasive measurement of indocyanine green plasma disappearance rate,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Correlation between invasive and noninvasive measurements of indocyanine green plasma disappearance rate,biolink:ClinicalFinding,POI_outcome,11126271,,2000,0.6,"Haiku-extracted from PMID:11126271, direction=",None,<0.0001,,
noninvasive_positive__hasClinicalOutcome__gas_exchange__length__12447511,Noninvasive positive pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"Gas exchange, length of ICU stay, ventilation duration, mortality",biolink:ClinicalFinding,POI_outcome,12447511,,2002,0.6,"Haiku-extracted from PMID:12447511, direction=NO EFFECT",None,None,NO EFFECT,
bovine_surfactant_th__hasClinicalOutcome__fio2_at_120h__9105072,Bovine surfactant therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,FiO2 at 120h,biolink:ClinicalFinding,POI_outcome,9105072,,1997,0.6,"Haiku-extracted from PMID:9105072, direction=BENEFIT",None,0.011,BENEFIT,
intensive_insulin_th__hasClinicalOutcome__incidence_of_critica__17138955,Intensive insulin therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Incidence of critical illness polyneuropathy/myopathy,biolink:ClinicalFinding,POI_outcome,17138955,,2007,0.6,"Haiku-extracted from PMID:17138955, direction=BENEFIT",-11.6,0.02,BENEFIT,
rehabilitation_proto__hasClinicalOutcome__liberation_from_mech__27762595,Rehabilitation protocols,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Liberation from mechanical ventilation,biolink:ClinicalFinding,POI_outcome,27762595,,2017,0.6,"Haiku-extracted from PMID:27762595, direction=BENEFIT",None,None,BENEFIT,
early_noninvasive_ve__hasClinicalOutcome__day_28_mortality__26444879,Early noninvasive ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Day-28 mortality,biolink:ClinicalFinding,POI_outcome,26444879,,2015,0.6,"Haiku-extracted from PMID:26444879, direction=NO EFFECT",-3.2,0.47,NO EFFECT,
corticosteroids__hasClinicalOutcome__development_of_ards___18434379,corticosteroids,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"development of ARDS, mortality in ARDS",biolink:ClinicalFinding,POI_outcome,18434379,,2008,0.6,"Haiku-extracted from PMID:18434379, direction=NO EFFECT",None,"86.6%, 72.8%, 6.8%",NO EFFECT,
noninvasive_ventilat__hasClinicalOutcome__successful_weaning_a__10390384,Noninvasive ventilation (NIV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Successful weaning and extubation,biolink:ClinicalFinding,POI_outcome,10390384,,1999,0.6,"Haiku-extracted from PMID:10390384, direction=NO EFFECT",1.5,NS,NO EFFECT,
spontaneous_breathin__hasClinicalOutcome__twitch_transdiaphrag__12411288,Spontaneous breathing trial,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Twitch transdiaphragmatic pressure,biolink:ClinicalFinding,POI_outcome,12411288,,2003,0.6,"Haiku-extracted from PMID:12411288, direction=NO EFFECT",-1.4,0.17,NO EFFECT,
prolonged_low_to_mod__hasClinicalOutcome__mortality__19325471,Prolonged low-to-moderate dose corticosteroids,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,19325471,,2009,0.6,"Haiku-extracted from PMID:19325471, direction=BENEFIT",-0.38,0.01,BENEFIT,
prone_positioning_du__hasClinicalOutcome__ventilation_perfusio__7956412,prone positioning during pressure-controlled mechanical ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilation-perfusion relationships (VA/Q),biolink:ClinicalFinding,POI_outcome,7956412,,1994,0.6,"Haiku-extracted from PMID:7956412, direction=BENEFIT",47.8,<=0.05,BENEFIT,
initial_trophic_ente__hasClinicalOutcome__ventilator_free_days__21242788,Initial trophic enteral nutrition,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Ventilator-free days to day 28,biolink:ClinicalFinding,POI_outcome,21242788,,2011,0.6,"Haiku-extracted from PMID:21242788, direction=NO EFFECT",None,0.9,NO EFFECT,
recombinant_human_so__hasClinicalOutcome__28_day_all_cause_mor__31104069,Recombinant human soluble thrombomodulin,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,28-day all-cause mortality,biolink:ClinicalFinding,POI_outcome,31104069,,2019,0.6,"Haiku-extracted from PMID:31104069, direction=NO EFFECT",-2.6,0.32,NO EFFECT,
lung_protective_mech__hasClinicalOutcome__two_year_survival_af__22491953,Lung protective mechanical ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Two year survival after onset of acute lung injury,biolink:ClinicalFinding,POI_outcome,22491953,,2012,0.6,"Haiku-extracted from PMID:22491953, direction=BENEFIT",-3.0,0.002,BENEFIT,
nasal_bilevel_pressu__hasClinicalOutcome__increase_of_at_least__12684289,Nasal bilevel pressure ventilation (BPV) plus conventional therapy,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Increase of at least 50% in FEV1 compared to baseline,biolink:ClinicalFinding,POI_outcome,12684289,,2003,0.6,"Haiku-extracted from PMID:12684289, direction=BENEFIT",53.5,0.006,BENEFIT,
ventilatory_ratio__hasClinicalOutcome__in_hospital_mortalit__30211618,Ventilatory ratio,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,In-hospital mortality,biolink:ClinicalFinding,POI_outcome,30211618,,2019,0.6,"Haiku-extracted from PMID:30211618, direction=HARM",OR,0.024,HARM,
sivelestat__ono_5046__hasClinicalOutcome__28_day_all_cause_mor__15286546,"Sivelestat (ONO-5046, Elaspol)",biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,"28-day all-cause mortality, ventilator-free days (day 1-28)",biolink:ClinicalFinding,POI_outcome,15286546,,2004,0.6,"Haiku-extracted from PMID:15286546, direction=NO EFFECT",None,0.536,NO EFFECT,
inhaled_nitric_oxide__hasClinicalOutcome__pao2_fio2__8630585,inhaled nitric oxide,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,PaO2/FIO2,biolink:ClinicalFinding,POI_outcome,8630585,,1996,0.6,"Haiku-extracted from PMID:8630585, direction=BENEFIT",29.0,<0.01,BENEFIT,
non_invasive_ventila__hasClinicalOutcome__avoidance_of_respira__19682735,Non-invasive ventilation after extubation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Avoidance of respiratory failure within 72h after extubation,biolink:ClinicalFinding,POI_outcome,19682735,,2009,0.6,"Haiku-extracted from PMID:19682735, direction=BENEFIT",-33.0,<0.0001,BENEFIT,
noninvasive_positive__hasClinicalOutcome__improvement_in_gas_e__8797425,Noninvasive positive pressure ventilation (NPPV),biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Improvement in gas exchange,biolink:ClinicalFinding,POI_outcome,8797425,,1996,0.6,"Haiku-extracted from PMID:8797425, direction=BENEFIT",None,<0.0001,BENEFIT,
noninvasive_ventilat__hasClinicalOutcome__mortality__17019559,Noninvasive ventilation (NIV) success,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Mortality,biolink:ClinicalFinding,POI_outcome,17019559,,2006,0.6,"Haiku-extracted from PMID:17019559, direction=BENEFIT",OR,None,BENEFIT,
respiratory_muscle_a__hasClinicalOutcome__hospitalization_rate__11083691,Respiratory muscle aid protocol,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Hospitalization rates for respiratory complications,biolink:ClinicalFinding,POI_outcome,11083691,,2000,0.6,"Haiku-extracted from PMID:11083691, direction=BENEFIT",-9.23,<0.001,BENEFIT,
non_invasive_ventila__hasClinicalOutcome__prevalence_of_patien__19183949,Non-invasive ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Prevalence of patient-ventilator asynchrony,biolink:ClinicalFinding,POI_outcome,19183949,,2009,0.6,"Haiku-extracted from PMID:19183949, direction=ASSOCIATION",None,None,ASSOCIATION,
48_hr_neuromuscular___hasClinicalOutcome__pao2_fio2_ratio__14707568,48-hr neuromuscular blocking agents (NMBA) infusion,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,PaO2/FiO2 ratio,biolink:ClinicalFinding,POI_outcome,14707568,,2004,0.6,"Haiku-extracted from PMID:14707568, direction=BENEFIT",None,0.021,BENEFIT,
protective_ventilati__hasClinicalOutcome__composite_outcome_of__26174419,Protective ventilation,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Composite outcome of major respiratory complications,biolink:ClinicalFinding,POI_outcome,26174419,,2015,0.6,"Haiku-extracted from PMID:26174419, direction=BENEFIT",-0.1,0.013,BENEFIT,
intensive_pt_program__hasClinicalOutcome__physical_functional___26651376,Intensive PT program,biolink:Treatment,POI_intervention,poi:hasClinicalOutcome,biolink:has_phenotype,Physical functional performance at 1 month,biolink:ClinicalFinding,POI_outcome,26651376,,2016,0.6,"Haiku-extracted from PMID:26651376, direction=NO EFFECT",mean difference,0.73,NO EFFECT,
